cluster_id	Amplitude	ContamPct	KSLabel	amp	ch	depth	fr	group	n_spikes	sh
201	755.60000000	318.40000000	mua	59.96792603	255	1545.00000000	0.09042915	mua	328	0
202	773.80000000	0.00000000	good	56.74757767	258	1575.00000000	0.25970812	good	942	0
204	438.70000000	14.30000000	mua	34.80801773	281	1740.00000000	3.23036099	good	11717	0
208	920.90000000	0.00000000	mua	81.51659393	344	1860.00000000	0.09842442	mua	357	0
209	824.70000000	0.00000000	mua	70.55007172	343	1845.00000000	0.78188135	mua	2836	0
210	811.90000000	65.70000000	mua	68.60855865	343	1845.00000000	0.90291305	mua	3275	0
211	804.30000000	0.00000000	mua	52.75180054	342	1845.00000000	0.09925151	mua	360	0
212	983.00000000	2.40000000	good	67.70089722	363	1275.00000000	13.30245950	good	48250	0
213	910.10000000	0.00000000	good	75.58177185	367	1305.00000000	1.23016734	mua	4462	0
215	1557.50000000	0.00000000	good	58.25487518	245	2190.00000000	0.18058261	good	655	0
216	1813.70000000	8.40000000	good	79.05598450	253	2250.00000000	2.55296943	good	9260	0
217	1164.00000000	0.00000000	good	70.87724304	265	1620.00000000	0.11965321	good	434	0
218	996.60000000	58.00000000	mua	74.32489777	269	1650.00000000	0.16624628	mua	603	0
220	1110.60000000	2.20000000	good	83.65245056	51	1455.00000000	2.89566284	good	10503	0
222	1732.80000000	2.80000000	good	76.11305237	125	2010.00000000	1.90314773	good	6903	0
223	517.20000000	4.60000000	good	46.27144623	328	2100.00000000	6.69065465	good	24268	0
224	903.80000000	0.00000000	good	69.66823578	332	2130.00000000	0.96604804	good	3504	0
226	2128.40000000	4.60000000	good	67.39851379	23	2325.00000000	1.20948994	good	4387	0
227	999.50000000	0.00000000	good	68.55065918	50	1455.00000000	0.57979425	good	2103	0
228	1180.30000000	0.50000000	good	76.00321960	337	1800.00000000	9.78950739	good	35508	0
230	1630.80000000	0.00000000	good	95.92912292	29	2370.00000000	0.42457591	good	1540	0
232	998.60000000	0.00000000	mua	76.11129761	31	2385.00000000	0.22055891	mua	800	0
233	442.90000000	0.30000000	good	50.65445709	34	1695.00000000	29.92377925	good	108538	0
235	1190.00000000	0.00000000	good	73.94413757	187	2115.00000000	0.73639107	good	2671	0
236	670.40000000	4.30000000	good	45.07861328	206	1545.00000000	2.83087366	good	10268	0
237	574.60000000	4.80000000	good	48.00746918	269	1650.00000000	1.05675290	good	3833	0
